id,canonical_slug,name,developer,model,created,description,context_length,architecture_input_modalities,architecture_output_modalities,architecture_tokenizer,architecture_instruct_type,pricing_prompt,pricing_completion,pricing_request,pricing_image,pricing_web_search,pricing_internal_reasoning,pricing_input_cache_read,pricing_input_cache_write,top_provider_context_length,top_provider_max_completion_tokens,top_provider_is_moderated,supported_parameters,default_parameters,expiration_date,knowledge_cutoff,links,per_request_limits,supported_voices,hugging_face_id,benchmarks_design_arena
"tencent/hy3:free","tencent/hy3-20260706","Tencent: Hy3 (free)","Tencent","Hy3 (free)","1783344048","Hy3 is a 295B-parameter Mixture-of-Experts model from Tencent (21B active; 192 experts with top-8 routing) built for reasoning; agentic workflows; and real-world production use. It supports a configurable reasoning effort:...","262144","text","text","Other","","0","0","","","","","","","262144","262144","","frequency_penalty|include_reasoning|max_tokens|presence_penalty|reasoning|repetition_penalty|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_p","{""temperature"":0.9;""top_p"":1;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","2026-07-21","","{""details"":""/api/v1/models/tencent/hy3-20260706/endpoints""}","null","null","tencent/Hy3",""
"tencent/hy3","tencent/hy3-20260706","Tencent: Hy3","Tencent","Hy3","1783344048","Hy3 is a 295B-parameter Mixture-of-Experts model from Tencent (21B active; 192 experts with top-8 routing) built for reasoning; agentic workflows; and real-world production use. It supports a configurable reasoning effort:...","262144","text","text","Other","","0.00000014","0.00000058","","","","","0.000000035","","202752","131072","","frequency_penalty|include_reasoning|logit_bias|max_tokens|min_p|presence_penalty|reasoning|repetition_penalty|seed|stop|structured_outputs|temperature|tool_choice|tools|top_k|top_p","{""temperature"":0.9;""top_p"":1;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/tencent/hy3-20260706/endpoints""}","null","null","tencent/Hy3",""
"poolside/laguna-xs-2.1:free","poolside/laguna-xs-2.1-20260625","Poolside: Laguna XS 2.1 (free)","Poolside","Laguna XS 2.1 (free)","1783002429","Laguna XS 2.1 is the latest coding agent model in the 33B-A3B category from [Poolside](https://poolside.ai/) and a step forward from their Laguna XS.2 model (released in April 2026). It combines...","262144","text","text","Other","","0","0","","","","","","","262144","32768","","include_reasoning|max_tokens|reasoning|temperature|tool_choice|tools","{""temperature"":0.7;""top_p"":0.9;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/poolside/laguna-xs-2.1-20260625/endpoints""}","null","null","poolside/Laguna-XS-2.1",""
"poolside/laguna-xs-2.1","poolside/laguna-xs-2.1-20260625","Poolside: Laguna XS 2.1","Poolside","Laguna XS 2.1","1783002429","Laguna XS 2.1 is the latest coding agent model in the 33B-A3B category from [Poolside](https://poolside.ai/) and a step forward from their Laguna XS.2 model (released in April 2026). It combines...","262144","text","text","Other","","0.00000006","0.00000012","","","","","0.00000003","","262144","32768","","include_reasoning|max_tokens|reasoning|temperature|tool_choice|tools","{""temperature"":0.7;""top_p"":0.9;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/poolside/laguna-xs-2.1-20260625/endpoints""}","null","null","poolside/Laguna-XS-2.1",""
"anthropic/claude-sonnet-5","anthropic/claude-sonnet-5-20260630","Anthropic: Claude Sonnet 5","Anthropic","Claude Sonnet 5","1782843083","Sonnet 5 is Anthropic's most capable Sonnet-class model; with frontier performance across coding; agents; and professional work. It supports adaptive thinking with selectable reasoning effort levels (low; medium; high; max;...","1000000","text|image|file","text","Claude","","0.000002","0.00001","","","0.01","","0.0000002","0.0000025","1000000","128000","","include_reasoning|max_completion_tokens|max_tokens|reasoning|response_format|stop|structured_outputs|tool_choice|tools|verbosity","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/anthropic/claude-sonnet-5-20260630/endpoints""}","null","null","","models/3d:elo=1320,wr=58,rank=11|models/asciiart:elo=1222,wr=50.8,rank=14|models/codecategories:elo=1318,wr=57.2,rank=10|models/dataviz:elo=1277,wr=53.7,rank=18|models/gamedev:elo=1344,wr=59.8,rank=5|models/svg:elo=1254,wr=54.8,rank=13|models/uicomponent:elo=1320,wr=56.9,rank=8|models/website:elo=1318,wr=57.6,rank=8"
"google/gemini-3.1-flash-lite-image","google/gemini-3.1-flash-lite-image-20260630","Google: Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image)","Google","Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image)","1782837225","Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image) is Google's fastest; most cost-efficient Gemini image model; built for high-velocity developer pipelines and rapid-fire visual exploration. It delivers text-to-image generation...","65536","image|text","image|text","Gemini","","0.00000025","0.0000015","","","0.014","","","","65536","66000","","include_reasoning|max_tokens|reasoning|response_format|seed|temperature|top_p","{}","","2025-01-01","{""details"":""/api/v1/models/google/gemini-3.1-flash-lite-image-20260630/endpoints""}","null","null","",""
"nex-agi/nex-n2-mini","nex-agi/nex-n2-mini","Nex AGI: Nex-N2-Mini","NexAGI","Nex-N2-Mini","1782312964","Nex-N2-Mini is an open-source agentic mixture-of-experts model from Nex AGI; the smaller sibling in the Nex-N2 series. It accepts text and image input and is built for coding; tool use;...","262144","text|image","text","Qwen3","","0.000000025","0.0000001","","","","","0.0000000025","","262144","262144","","include_reasoning|logprobs|max_tokens|reasoning|response_format|structured_outputs|temperature|tool_choice|tools|top_k|top_logprobs|top_p","{""temperature"":0.7;""top_p"":0.95;""top_k"":40;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/nex-agi/nex-n2-mini/endpoints""}","null","null","nex-agi/Nex-N2-Mini",""
"sakana/fugu-ultra","sakana/fugu-ultra-20260615","Sakana: Fugu Ultra","Sakana","Fugu Ultra","1782276303","Fugu Ultra is the higher-performance model in Sakana AI's Fugu family. Rather than a single monolithic model; Fugu is a learned multi-agent orchestration system: a language model trained to route...","1000000","text|image","text","Other","","0.000005","0.00003","","","0.01","","0.0000005","","1000000","128000","","include_reasoning|reasoning|structured_outputs|tool_choice|tools|web_search_options","{""temperature"":null;""top_p"":null;""top_k"":null;""frequency_penalty"":null;""presence_penalty"":null;""repetition_penalty"":null}","","","{""details"":""/api/v1/models/sakana/fugu-ultra-20260615/endpoints""}","null","null","",""
"alibaba/happyhorse-1.1","alibaba/happyhorse-1.1-20260624","Alibaba: HappyHorse 1.1","Alibaba","HappyHorse 1.1","1782269643","HappyHorse 1.1 is a video generation model from Alibaba. It generates short videos from a text prompt; a single starting image; or a set of reference images; with output up...","0","text|image","video","Other","","0","0","","","","","","","0","","","max_tokens|presence_penalty|response_format|seed|temperature|top_p","{}","","","{""details"":""/api/v1/models/alibaba/happyhorse-1.1-20260624/endpoints""}","null","null","",""
"openai/gpt-image-2","openai/gpt-image-2","OpenAI: GPT Image 2","OpenAI","GPT Image 2","1782264714","OpenAI's latest image generation model. Supports high-fidelity image generation and editing via the dedicated Images API.","400000","text|image","image","GPT","","0.000008","0.000008","","","0.01","","0.000002","","400000","","true","frequency_penalty|logit_bias|logprobs|max_tokens|presence_penalty|response_format|seed|stop|structured_outputs|temperature|top_logprobs|top_p","{}","","","{""details"":""/api/v1/models/openai/gpt-image-2/endpoints""}","null","null","",""
